Comment,Sentiment,clean_text,Predicted_Sentiment,Predicted_Category,Confidence_Score
the worst thing to happen to fashion was ‘influencers’ who encourage always wanting the next instead of appreciating the now and the classic they’re so fickle and encourage everyone else to be the same,negative,the worst thing to happen to fashion was influencers who encourage always wanting the next instead of appreciating the now and the classic they re so fickle and encourage everyone else to be the same,negative,Other Negative,0.37193775177001953
i used to love high fashion but the more i learn about what goes on in the industry the more i feel like pursuing a different career choice so much nepotism elitism and lack of creativity it’s almost as if you don’t fit within certain enclaves you’re not welcomed,negative,i used to love high fashion but the more i learn about what goes on in the industry the more i feel like pursuing a different career choice so much nepotism elitism and lack of creativity it s almost as if you don t fit within certain enclaves you re not welcomed,negative,Other Negative,0.49169430136680603
people are really stuck on the price tags and not understanding that couture is only made to order by experts in their fields thats what this video is looking at these pieces are art and art is different for everyone just because you dont like this version of art doesnt make you better than those who do i could never afford these pieces but that doesnt stop me from really appreciating the vision behind it,neutral,people are really stuck on the price tags and not understanding that couture is only made to order by experts in their fields thats what this video is looking at these pieces are art and art is different for everyone just because you dont like this version of art doesnt make you better than those who do i could never afford these pieces but that doesnt stop me from really appreciating the vision behind it,negative,Misinformation,0.6483578681945801
what annoys me the most is that these so called a majority of these high class fashion brands exploit their workers with long hours and little pay even though they are selling products for an extremely high price tag,negative,what annoys me the most is that these so called a majority of these high class fashion brands exploit their workers with long hours and little pay even though they are selling products for an extremely high price tag,negative,Other Negative,0.4313024580478668
man i could feel his palpable frustration at losing that first fish in addition to having a film crew pester him asking what happened handled that moment like a champ,neutral,man i could feel his palpable frustration at losing that first fish in addition to having a film crew pester him asking what happened handled that moment like a champ,negative,Other Negative,0.34580162167549133
if this doesn’t show how disgusting spoiled and wasteful we are as a society i don’t know what does,negative,if this doesn t show how disgusting spoiled and wasteful we are as a society i don t know what does,negative,Other Negative,0.5973799824714661
my concern is that with the big players waking up to this business model they will muscle in easily and squeeze out these little guys who was doing well below the radar now that the cat is out of the bag their profitability will experience more headwinds going forward,negative,my concern is that with the big players waking up to this business model they will muscle in easily and squeeze out these little guys who was doing well below the radar now that the cat is out of the bag their profitability will experience more headwinds going forward,negative,Other Negative,0.6010392308235168
i remember watching a documentary about how the area of west africa had become a dumping ground for usedunwanted clothes from europe and the americas more specifically the north americas i was totally shocked and had no idea about this villagers would sometimes travel for several miles on foot sometimes with their kids to pick through this clothing waste to sell into their communities and earn money most of it just became literal mountains of clothes on the beaches and wherever,negative,i remember watching a documentary about how the area of west africa had become a dumping ground for usedunwanted clothes from europe and the americas more specifically the north americas i was totally shocked and had no idea about this villagers would sometimes travel for several miles on foot sometimes with their kids to pick through this clothing waste to sell into their communities and earn money most of it just became literal mountains of clothes on the beaches and wherever,negative,Other Negative,0.4788849651813507
white dude creates black ai dude that was the first mistake,negative,white dude creates black ai dude that was the first mistake,negative,Misinformation,0.4029749035835266
ai music is this music for people that hate music,negative,ai music is this music for people that hate music,negative,Other Negative,0.7557968497276306
racism and stereotype not withstanding cause its really really bad this is horrible walk to the store levels of bad cgi gold star to anyone that gets that reference,negative,racism and stereotype not withstanding cause its really really bad this is horrible walk to the store levels of bad cgi gold star to anyone that gets that reference,negative,Inappropriate Content,0.6864383816719055
imagine the terminator but programmed by a white supremacist then realize elon musk completely ignores racism at tesla and has turned into an authoritarian facist and hes creating sentient androids oh and hes a south african emerald farmer the republicans will just claim that the robots went crazy,negative,imagine the terminator but programmed by a white supremacist then realize elon musk completely ignores racism at tesla and has turned into an authoritarian facist and hes creating sentient androids oh and hes a south african emerald farmer the republicans will just claim that the robots went crazy,negative,Other Negative,0.44239163398742676
it’s about the money of course if an exec can “sign” a robot they can churn out crap 24x7,negative,it s about the money of course if an exec can sign a robot they can churn out crap 24x7,negative,Aggressive Behavior,0.31631845235824585
wow they really dont want to pay artist at all anymore we will make an ai slave is what they did wtf,negative,wow they really dont want to pay artist at all anymore we will make an ai slave is what they did wtf,negative,Aggressive Behavior,0.5162090063095093
when can cbnc actually show someone who created something cool like a product turned business an interesting yt channel maybe they publish their own books etc rather than these woefully unqualified finance “gurus” who add more detriment than value to most of its customers,negative,when can cbnc actually show someone who created something cool like a product turned business an interesting yt channel maybe they publish their own books etc rather than these woefully unqualified finance gurus who add more detriment than value to most of its customers,negative,Other Negative,0.4276444613933563
sick of cnbc only promoting these gurus that seem to have no financial background or successful track record other than selling to other poor people how to be rich fake it til you make it,negative,sick of cnbc only promoting these gurus that seem to have no financial background or successful track record other than selling to other poor people how to be rich fake it til you make it,negative,Inappropriate Content,0.36722514033317566
i can relate what sis tshepi was saying about her business n her hubbys business it happened to my mothers business n she cried for a week if not a mnth,negative,i can relate what sis tshepi was saying about her business n her hubbys business it happened to my mothers business n she cried for a week if not a mnth,negative,Other Negative,0.5277917981147766
i feel so fake wanting to make a business because i feel whatever i make has already been made and idk if it’s gonna be better than those already made so it scares me,negative,i feel so fake wanting to make a business because i feel whatever i make has already been made and idk if it s gonna be better than those already made so it scares me,negative,Other Negative,0.4535199999809265
i feel like small business owners like put their heart and soul into their packages and try to get it shipped in time but they still dont get appreciated for their hard work,negative,i feel like small business owners like put their heart and soul into their packages and try to get it shipped in time but they still dont get appreciated for their hard work,negative,Other Negative,0.5295535326004028
the package look more expensive than the actual product,negative,the package look more expensive than the actual product,negative,Other Negative,0.5643232464790344
im team more tutorials less haulsunpacking learning how to do my make up makes me feel better while seeing other people buying a lot of makeup just to show it makes me feel even poorer than i am maybe im just jealous that i cant afford it but im sure im not the only one that feels this way,negative,im team more tutorials less haulsunpacking learning how to do my make up makes me feel better while seeing other people buying a lot of makeup just to show it makes me feel even poorer than i am maybe im just jealous that i cant afford it but im sure im not the only one that feels this way,negative,Other Negative,0.32681095600128174
3127 using underscore for place value separation 3206 defining value as long by suffixing l 3259 defining value as float by suffixing f 4950 trimming strings 5105 putting special characters in strings using backslash 10353 division with whole numbers rounds down 10410 specifying nonint values in expressions 14517 reversing a boolean value by prefixing an exclamation mark 15018 cleaning if statements 20324 most specific conditions at the top 21154 strings are incompatible in comparisons use methods,neutral,3127 using underscore for place value separation 3206 defining value as long by suffixing l 3259 defining value as float by suffixing f 4950 trimming strings 5105 putting special characters in strings using backslash 10353 division with whole numbers rounds down 10410 specifying nonint values in expressions 14517 reversing a boolean value by prefixing an exclamation mark 15018 cleaning if statements 20324 most specific conditions at the top 21154 strings are incompatible in comparisons use methods,negative,Other Negative,0.5621631145477295
hi nana you might want to know that the demo project mongodb no longer works with the latest image i had to use mongo316 which was the latest version at the time you recorded this video it might be worth adding a note to your video at 11945 that those following along should use mongo316,negative,hi nana you might want to know that the demo project mongodb no longer works with the latest image i had to use mongo316 which was the latest version at the time you recorded this video it might be worth adding a note to your video at 11945 that those following along should use mongo316,negative,Other Negative,0.6835550665855408
one thing with the dark souls tutorial is that the boulder will almost always hurt a new player so when they get the estus and told to use it they can see their health increase as a result,negative,one thing with the dark souls tutorial is that the boulder will almost always hurt a new player so when they get the estus and told to use it they can see their health increase as a result,negative,Other Negative,0.5654699802398682
i cant comprehend how josh puts out so much content at such a high frequency thats over 40 minutes long every time that man is a workhorse,neutral,i cant comprehend how josh puts out so much content at such a high frequency thats over 40 minutes long every time that man is a workhorse,negative,Other Negative,0.32131874561309814
one of my friends gave up on monster hunter rise because he got overwhelmed by all the mechanics you can interact while having pretty much 0 tutorials especially how weapons work and which are their movesets as a veteran i really no longer think about that but it reminded me how not having gradual introductions to the main mechanics of a game can turn many potential players away,negative,one of my friends gave up on monster hunter rise because he got overwhelmed by all the mechanics you can interact while having pretty much 0 tutorials especially how weapons work and which are their movesets as a veteran i really no longer think about that but it reminded me how not having gradual introductions to the main mechanics of a game can turn many potential players away,negative,Other Negative,0.6403786540031433
if u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,negative,if u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,negative,Other Negative,0.3714989721775055
after 25 years i am returning here to say that i’ve just accepted a job offer for a good salary and my it journey started here from this video in november of 2019 this was my first source of information when i got back from work being a cable tech and typed “python full course” or something along those lines of course back then a lot of concepts like classes and inheritance meant nothing to me and this video perhaps wasn’t the most beginner friendly however i was so sick of my job and i absolutely saw no growth in doing cable where the salary cap for a technician was probably it jobs base pay for the most part so i decided to google every single thing i don’t understand and i successfully changed careers,negative,after 25 years i am returning here to say that i ve just accepted a job offer for a good salary and my it journey started here from this video in november of 2019 this was my first source of information when i got back from work being a cable tech and typed python full course or something along those lines of course back then a lot of concepts like classes and inheritance meant nothing to me and this video perhaps wasn t the most beginner friendly however i was so sick of my job and i absolutely saw no growth in doing cable where the salary cap for a technician was probably it jobs base pay for the most part so i decided to google every single thing i don t understand and i successfully changed careers,negative,Other Negative,0.22352978587150574
i love how brad actually understand what an inch is in meanings of hair 6 months ago i had my hair down to my waist and asked to get 3 inches off my hair he cut off 8 inches and it looked absolutely horrendous i asked for layers and he gave me the choppiest hair you will ever see i cried for 2 days straight and went to school in a ponytail for 2 months,positive,i love how brad actually understand what an inch is in meanings of hair 6 months ago i had my hair down to my waist and asked to get 3 inches off my hair he cut off 8 inches and it looked absolutely horrendous i asked for layers and he gave me the choppiest hair you will ever see i cried for 2 days straight and went to school in a ponytail for 2 months,negative,Other Negative,0.40305525064468384
i can 100 confirm that as a british person we do not all make food that way ,neutral,i can 100 confirm that as a british person we do not all make food that way,negative,Misinformation,0.5404331684112549
i love that the narrator is particularly enraged at the horrific cheesecake tutorial usually the narrator performs with an impersonal almost inhumane robotesque anonymity and objectiveness but here you start to see their own real personality come through just a bit whoever they are they must be an avid baker to be so enraged by the british womans baking faux pas hahaha,negative,i love that the narrator is particularly enraged at the horrific cheesecake tutorial usually the narrator performs with an impersonal almost inhumane robotesque anonymity and objectiveness but here you start to see their own real personality come through just a bit whoever they are they must be an avid baker to be so enraged by the british womans baking faux pas hahaha,negative,Aggressive Behavior,0.7624674439430237
as a person living in the uk i can confirm this is an isolated incident i just put the biscuits in a ziplock bag and beat the crap out of them with a rolling pin this lady made me facepalm so bad,negative,as a person living in the uk i can confirm this is an isolated incident i just put the biscuits in a ziplock bag and beat the crap out of them with a rolling pin this lady made me facepalm so bad,negative,Aggressive Behavior,0.600824773311615
as a brit we definitely do not cook like her cheese cake is one of the first things i was taught to make as a child no stove or oven needed,negative,as a brit we definitely do not cook like her cheese cake is one of the first things i was taught to make as a child no stove or oven needed,negative,Misinformation,0.45281362533569336
one of the best perfectlypaced typescript tutorials out there unfortunate that you dont use curly braces with your if statements one of the biggest causes of bugs for new and even experienced js programmers hubris is the only reason not to use them,negative,one of the best perfectlypaced typescript tutorials out there unfortunate that you dont use curly braces with your if statements one of the biggest causes of bugs for new and even experienced js programmers hubris is the only reason not to use them,negative,Other Negative,0.4931086599826813
nikkie should do a full korean inspired makeup look guess that it would probably be her worst fear since it’s all about the natural look,negative,nikkie should do a full korean inspired makeup look guess that it would probably be her worst fear since it s all about the natural look,negative,Other Negative,0.6396549344062805
this video is the definition of “you’re not ugly you’re poor”,negative,this video is the definition of you re not ugly you re poor,negative,Other Negative,0.611599862575531
im motivated at a wrong time my will to do sketches again really went  when im on the busiest days of my life,negative,im motivated at a wrong time my will to do sketches again really went when im on the busiest days of my life,negative,Other Negative,0.5976240038871765
love the video but it brings back painful memories of being a 24 yr old young man with 360 waves putting dax pomade in my hair and now 36 and bald with a beard life comes at you fast ,negative,love the video but it brings back painful memories of being a 24 yr old young man with 360 waves putting dax pomade in my hair and now 36 and bald with a beard life comes at you fast,negative,Other Negative,0.5936452150344849
057 no dont do that to a pop it,neutral,057 no dont do that to a pop it,negative,Other Negative,0.42063218355178833
never knew i was out of shape until i did this ,negative,never knew i was out of shape until i did this,negative,Other Negative,0.40497976541519165
if i learn this you’ll never see me walking forward again,negative,if i learn this you ll never see me walking forward again,negative,Other Negative,0.7121416330337524
ive been using the door trick for years had a base entrance that used it once only problem is since they added crawling if you dont time it right you get sandwiched under the top block of the door,negative,ive been using the door trick for years had a base entrance that used it once only problem is since they added crawling if you dont time it right you get sandwiched under the top block of the door,negative,Other Negative,0.6924156546592712
i watch it 1 million time and i don’t know how to do it i almost broke my arm out,negative,i watch it 1 million time and i don t know how to do it i almost broke my arm out,negative,Other Negative,0.2756282091140747
i miss the good old days before mojang became extremely lazy and restrictive,negative,i miss the good old days before mojang became extremely lazy and restrictive,negative,Other Negative,0.6582353711128235
robinhood is severely underrated,negative,robinhood is severely underrated,negative,Aggressive Behavior,0.5050966143608093
interest rates go up people spend less businesses and peoples loan costs go up the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down i’m putting all of my profits into silver gold bitcoin ethereum and food,negative,interest rates go up people spend less businesses and peoples loan costs go up the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down i m putting all of my profits into silver gold bitcoin ethereum and food,negative,Other Negative,0.815007209777832
that’s why you do a limit order and never a market order quite a misleading story the assumption is that retail traders don’t know how to place a trade with a limit order,negative,that s why you do a limit order and never a market order quite a misleading story the assumption is that retail traders don t know how to place a trade with a limit order,negative,Misinformation,0.8602411150932312
the last two years was also the worst time to buy real estate its met it bubble peak though and will take some time to resettle,negative,the last two years was also the worst time to buy real estate its met it bubble peak though and will take some time to resettle,negative,Other Negative,0.7733151912689209
homes are being way overvalued time for sellers to come down to reality,negative,homes are being way overvalued time for sellers to come down to reality,negative,Other Negative,0.3802485167980194
this painful plateau of economic misery will continue for years there are too many forces propping up the market itll never get back down to the average person anymore because the institutional money will grab much of the property before it does there are also so many more options for homeowners than simply selling now sideways for years to come and the next generations go downhill hopefully it was worth the greed of the asset bubble the fed created,negative,this painful plateau of economic misery will continue for years there are too many forces propping up the market itll never get back down to the average person anymore because the institutional money will grab much of the property before it does there are also so many more options for homeowners than simply selling now sideways for years to come and the next generations go downhill hopefully it was worth the greed of the asset bubble the fed created,negative,Other Negative,0.5389593839645386
not a great time for buyers right up until prices crash and blackrock comes in and sweeps em all up on the cheap in cash homeowners that cant pay an absurd mortgage can rent for exorbitant rates after they boost the prices back up you will own nothing and you will not be happy,negative,not a great time for buyers right up until prices crash and blackrock comes in and sweeps em all up on the cheap in cash homeowners that cant pay an absurd mortgage can rent for exorbitant rates after they boost the prices back up you will own nothing and you will not be happy,negative,Other Negative,0.5483217239379883
real estate will just be one of the dead markets tied to the collapse of everything though,negative,real estate will just be one of the dead markets tied to the collapse of everything though,negative,Other Negative,0.7995461225509644
sorry for people who paid 50 or 60k more than the asking price in the last 2 years,negative,sorry for people who paid 50 or 60k more than the asking price in the last 2 years,negative,Other Negative,0.5393736958503723
as a brookfield shareholder definitely not happy theyre investing to hard into intel of all the companies,negative,as a brookfield shareholder definitely not happy theyre investing to hard into intel of all the companies,negative,Aggressive Behavior,0.36008065938949585
makes me think the dividend will shrink soon,negative,makes me think the dividend will shrink soon,negative,Other Negative,0.7802690863609314
time to dump lrcx i guess,negative,time to dump lrcx i guess,negative,Other Negative,0.4982047379016876
this guy advice terrible somedays age he told to buy meta,negative,this guy advice terrible somedays age he told to buy meta,negative,Inappropriate Content,0.3757759630680084
intel is in trouble,negative,intel is in trouble,negative,Other Negative,0.5818525552749634
economics 101 increasing the supply of money increases inflation 100 of the time this is horrible news for the stock market and the economy as a whole biden lost my vote and while i hate trump im no longer sure how ill vote in the next election,negative,economics 101 increasing the supply of money increases inflation 100 of the time this is horrible news for the stock market and the economy as a whole biden lost my vote and while i hate trump im no longer sure how ill vote in the next election,negative,Other Negative,0.46368396282196045
this is so regressive… fjb,negative,this is so regressive fjb,negative,Other Negative,0.7516887187957764
that pie chart is what happens when you flunk your math classes,negative,that pie chart is what happens when you flunk your math classes,negative,Other Negative,0.7629213929176331
whoever made that chart at 050 should be fired,negative,whoever made that chart at 050 should be fired,negative,Inappropriate Content,0.47332820296287537
something clearly wrong on that pie chart,negative,something clearly wrong on that pie chart,negative,Inappropriate Content,0.6225520372390747
that has to be the worst representation in a graph ever public,negative,that has to be the worst representation in a graph ever public,negative,Other Negative,0.840071439743042
the two major nuclear disasters happened because of 1 incompetence chernobyl and 2 natural disaster fukushima as a british citizen i would say that on the most part we are very capable of preventing those two things we’ve wasted 30 years of nuclear understanding and fine tuning in my opinion let’s get those plants running baby,negative,the two major nuclear disasters happened because of 1 incompetence chernobyl and 2 natural disaster fukushima as a british citizen i would say that on the most part we are very capable of preventing those two things we ve wasted 30 years of nuclear understanding and fine tuning in my opinion let s get those plants running baby,negative,Other Negative,0.46570974588394165
excellent video marko things look really bad for now just recently it was reported that germans among many others probably already spend their savings to fight inflation instead of having their salaries rise to cover it i dont want to imagine what will happen in the winter when the energy bills will really increase or when those savings run out,negative,excellent video marko things look really bad for now just recently it was reported that germans among many others probably already spend their savings to fight inflation instead of having their salaries rise to cover it i dont want to imagine what will happen in the winter when the energy bills will really increase or when those savings run out,negative,Other Negative,0.8054709434509277
hi marko im living in the germany not born though and have been following your podcast because you do good analysis honestly as a european i feel quite disappointed by everything i understand why the administration decided not to invest in nuclear energy after fukushima accident but on the other hand i cannot understand how they didnt invest in other resources or should i say how the europe especially germany didnt diversify when it comes to energy suppliers its like you said they just ignored that fact even though we already had a couple of years ago possible no delivery situation with russia,negative,hi marko im living in the germany not born though and have been following your podcast because you do good analysis honestly as a european i feel quite disappointed by everything i understand why the administration decided not to invest in nuclear energy after fukushima accident but on the other hand i cannot understand how they didnt invest in other resources or should i say how the europe especially germany didnt diversify when it comes to energy suppliers its like you said they just ignored that fact even though we already had a couple of years ago possible no delivery situation with russia,negative,Other Negative,0.7560763955116272
bidens recession is out of control,negative,bidens recession is out of control,negative,Other Negative,0.600748598575592
hahahahahaha talking about “middle class americans” like she knows a single thing about it,negative,hahahahahaha talking about middle class americans like she knows a single thing about it,negative,Misinformation,0.5904729962348938
deleted all the thumbs down,negative,deleted all the thumbs down,negative,Other Negative,0.7415487766265869
said a whole lot of nothing as always,negative,said a whole lot of nothing as always,negative,Other Negative,0.5343905687332153
inflations getting crazy i’m gonna have to start cutting down on things like making payments soon,negative,inflations getting crazy i m gonna have to start cutting down on things like making payments soon,negative,Other Negative,0.6151281595230103
things are going to get a lot worse… i can’t see a way out of this… your liberal government is more concerned with ukraine… they haven’t done anything to help you…a canadian… keep voting the same way and get the same results…,negative,things are going to get a lot worse i can t see a way out of this your liberal government is more concerned with ukraine they haven t done anything to help you a canadian keep voting the same way and get the same results,negative,Other Negative,0.7432171702384949
im concerned about the federal government sending workers to sneak into saskatchewan and trespass on private property then theres the sending mps to taiwan to stir the war pot also did anyone else notice the very enthusiastic greeting deputy tweak gave the german chancellor she know hes probably only here to have a hot shower,negative,im concerned about the federal government sending workers to sneak into saskatchewan and trespass on private property then theres the sending mps to taiwan to stir the war pot also did anyone else notice the very enthusiastic greeting deputy tweak gave the german chancellor she know hes probably only here to have a hot shower,negative,Other Negative,0.356515109539032
and this is the problem with voting and hiring on the basis of diversity,negative,and this is the problem with voting and hiring on the basis of diversity,negative,Other Negative,0.5550621747970581
lol government give corporations that are making record profits more money for canadians childcare is the fix for inflation give me a break governments are there to screw the small guy get another job step off,negative,lol government give corporations that are making record profits more money for canadians childcare is the fix for inflation give me a break governments are there to screw the small guy get another job step off,negative,Toxicity,0.2155909538269043
the price of groceries has doubledrents have skyrocketed everything has increased except income ,negative,the price of groceries has doubledrents have skyrocketed everything has increased except income,negative,Other Negative,0.7195444703102112
honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc with 21 btcfrom day tradng with jacob carlson insights and chartshis been one step ahead of other analysis you can reach mr jacob carlson on ͳeiєɠɾαmjacobcarlson10,negative,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc with 21 btcfrom day tradng with jacob carlson insights and chartshis been one step ahead of other analysis you can reach mr jacob carlson on ei mjacobcarlson10,negative,Misinformation,0.34401246905326843
i reminder everyone that if they want to merge do it with your own wallet do not use others in the end everyone can loss everything because its not their wallet,negative,i reminder everyone that if they want to merge do it with your own wallet do not use others in the end everyone can loss everything because its not their wallet,negative,Other Negative,0.41202303767204285
yea it sucked to watch my portfolio tank in real time but i also knew that while stocks lose 36 on average in bear markets they gain 114 in bull markets so i ignored the news kept buying more index funds and waited millionaire in 2025 talking about investing in 2022,negative,yea it sucked to watch my portfolio tank in real time but i also knew that while stocks lose 36 on average in bear markets they gain 114 in bull markets so i ignored the news kept buying more index funds and waited millionaire in 2025 talking about investing in 2022,negative,Other Negative,0.5788533091545105
i am new to the stock market every stock that i bought so far i was out of luck because i bought them when they were expensive i feel i missed out on all the stock opportunities so far for the tech stocksi believe having 75k yearly income would be a good investment so i want to plug all my savings into the stock market i know this sounds a bit dull but i would like to know if i should learn investing or let somebody else more capable like a fa do it for me please share your thoughts i am kind of tired of searching for a good stock to buy and losing all the good opportunities,negative,i am new to the stock market every stock that i bought so far i was out of luck because i bought them when they were expensive i feel i missed out on all the stock opportunities so far for the tech stocksi believe having 75k yearly income would be a good investment so i want to plug all my savings into the stock market i know this sounds a bit dull but i would like to know if i should learn investing or let somebody else more capable like a fa do it for me please share your thoughts i am kind of tired of searching for a good stock to buy and losing all the good opportunities,negative,Other Negative,0.7471203207969666
yahoo going into overdrive trash talking ryan i can smell that they are scared,negative,yahoo going into overdrive trash talking ryan i can smell that they are scared,negative,Aggressive Behavior,0.7046241760253906
with the way things are moving i think i need to see a video on how to survive amidst the present recession i mean everything is in shambles surprisingly i heard people still make over 100k within a few months and id like to know how and if it is still possible in these times or if i am being lazy,negative,with the way things are moving i think i need to see a video on how to survive amidst the present recession i mean everything is in shambles surprisingly i heard people still make over 100k within a few months and id like to know how and if it is still possible in these times or if i am being lazy,negative,Other Negative,0.5124024152755737
burned,positive,burned,negative,Other Negative,0.6362306475639343
the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down the market won’t crash until after the midterms i’m putting all of my profits into silver gold bitcoin ethereum and food,negative,the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down the market won t crash until after the midterms i m putting all of my profits into silver gold bitcoin ethereum and food,negative,Other Negative,0.8557606935501099
my opinion depending on location and what happens with all the foreclosure notices that are starting to pop up it is either heading into a correction or possibly a crash def not easy to predict,negative,my opinion depending on location and what happens with all the foreclosure notices that are starting to pop up it is either heading into a correction or possibly a crash def not easy to predict,negative,Other Negative,0.59943026304245
that was a mic drop moment right there heck yea transitory sounds like forward guidance to me income inequality is also a huge problem our government needs to do something about but lacks the will to do so now the entire economy will suffer because of not taking care of our less advantaged in society,negative,that was a mic drop moment right there heck yea transitory sounds like forward guidance to me income inequality is also a huge problem our government needs to do something about but lacks the will to do so now the entire economy will suffer because of not taking care of our less advantaged in society,negative,Other Negative,0.31985151767730713
we are already in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fed will have to pull all the stops the unfortunate issue is that other markets are being decimatedif you want to stay green you have to rely on a lot of diversification currently up 14 and being careful still a better deal than leaving it in a savings or checking account yielding 01 percent interest,negative,we are already in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fed will have to pull all the stops the unfortunate issue is that other markets are being decimatedif you want to stay green you have to rely on a lot of diversification currently up 14 and being careful still a better deal than leaving it in a savings or checking account yielding 01 percent interest,negative,Other Negative,0.563556432723999
eerian on tv again telling you another fed mistakes and economic doom,negative,eerian on tv again telling you another fed mistakes and economic doom,negative,Other Negative,0.8110784292221069
i dont understand why is it called freebie when its our right for education water and basic needs we pay taxes like anything,negative,i dont understand why is it called freebie when its our right for education water and basic needs we pay taxes like anything,negative,Other Negative,0.45513787865638733
the dudes nodd when he was told to diversify his bonds is what killed me b,negative,the dudes nodd when he was told to diversify his bonds is what killed me b,negative,Other Negative,0.27165767550468445
how is this uncensored but still censored,negative,how is this uncensored but still censored,negative,Other Negative,0.5147636532783508
nowadays we all know cash rules everything around us that hits a little harder than it should have,negative,nowadays we all know cash rules everything around us that hits a little harder than it should have,negative,Other Negative,0.4213871657848358
sohe thinks buying stocks now is smart i feel sorry for anyone buying stocks right now,negative,sohe thinks buying stocks now is smart i feel sorry for anyone buying stocks right now,negative,Aggressive Behavior,0.36686789989471436
there never should have been quantitative easing period,negative,there never should have been quantitative easing period,negative,Inappropriate Content,0.4718865156173706
you got it wrong very wrong bro cryptocurrencies are the future,neutral,you got it wrong very wrong bro cryptocurrencies are the future,negative,Misinformation,0.7723339796066284
eggs were the last form of inexpensive protein available at the grocery government incompetence and indifference is literally taking food off your familys table at this point,negative,eggs were the last form of inexpensive protein available at the grocery government incompetence and indifference is literally taking food off your familys table at this point,negative,Other Negative,0.5367075204849243
biden took my eggs away,negative,biden took my eggs away,negative,Aggressive Behavior,0.3151242733001709
don’t waste your money the seats are not what they used to be they are junk plain yellow eggs did not orange like they used to be before do not buy these eggs,negative,don t waste your money the seats are not what they used to be they are junk plain yellow eggs did not orange like they used to be before do not buy these eggs,negative,Other Negative,0.38067105412483215
did he even once speak about cast politics or any other garbage he is throwing pure facts and they are speechless,negative,did he even once speak about cast politics or any other garbage he is throwing pure facts and they are speechless,negative,Aggressive Behavior,0.35235750675201416
rahul is so used to debate with dumb north indian politicians he lost the whole plot mr thiagarajan nailed it,negative,rahul is so used to debate with dumb north indian politicians he lost the whole plot mr thiagarajan nailed it,negative,Other Negative,0.29351019859313965
the market has been pretty bad until today it decided to surge everybody was practically crying then it kept dipping thats what you get when you feel you can navigate the process on your own big thank to mrs josphine leela im not bothered with how bad the market is because my assests are insured due to her advice and i still receive my profits,neutral,the market has been pretty bad until today it decided to surge everybody was practically crying then it kept dipping thats what you get when you feel you can navigate the process on your own big thank to mrs josphine leela im not bothered with how bad the market is because my assests are insured due to her advice and i still receive my profits,negative,Other Negative,0.3581852912902832
i can hear the we want ratcliffe chant as a united fan a selfmade working class roots billionaire who lived 8 miles from old trafford supporting united being a united owner you couldnt write the script its unbelievable,negative,i can hear the we want ratcliffe chant as a united fan a selfmade working class roots billionaire who lived 8 miles from old trafford supporting united being a united owner you couldnt write the script its unbelievable,negative,Inappropriate Content,0.4394288659095764
if mu fans really want the glazes out you have to hurt them where they care the most money boycott the club commercial sell and their sponsors lower their tv broadcast viewsstadium attendancesocial media activity ratings etc all these together will brought down the valuation of the club really weaken the glazess position and help potential buyers protest along is meaningless before that i doubt anything will happen,negative,if mu fans really want the glazes out you have to hurt them where they care the most money boycott the club commercial sell and their sponsors lower their tv broadcast viewsstadium attendancesocial media activity ratings etc all these together will brought down the valuation of the club really weaken the glazess position and help potential buyers protest along is meaningless before that i doubt anything will happen,negative,Aggressive Behavior,0.47325533628463745
this puts things to bed imo however the fact that ratcliffe openly made this statement may prompt them into a potential sale after all sponsors and partners are starting to have cold feet and that would definitely push them out especially if as expected our season goes pear shaped,negative,this puts things to bed imo however the fact that ratcliffe openly made this statement may prompt them into a potential sale after all sponsors and partners are starting to have cold feet and that would definitely push them out especially if as expected our season goes pear shaped,negative,Other Negative,0.4665740728378296
